,property,Reference profile,Evaluated entity
0,https://schema.org/associatedDisease,https://bioschemas.org/profiles/Protein/0.11-RELEASE,N1439ca48b90d408b8cb89c039c57b251
1,https://schema.org/description,https://bioschemas.org/profiles/Protein/0.11-RELEASE,N1439ca48b90d408b8cb89c039c57b251
2,https://schema.org/isEncodedByBioChemEntity,https://bioschemas.org/profiles/Protein/0.11-RELEASE,N1439ca48b90d408b8cb89c039c57b251
3,https://schema.org/taxonomicRange,https://bioschemas.org/profiles/Protein/0.11-RELEASE,N1439ca48b90d408b8cb89c039c57b251
4,https://schema.org/aggregateRating,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
5,https://schema.org/citation,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
6,https://schema.org/coursePrerequisites,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
7,https://schema.org/license,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
8,https://schema.org/mentions,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
9,https://schema.org/teaches,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
10,https://schema.org/timeRequired,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
11,https://schema.org/url,https://bioschemas.org/profiles/Course/1.0-RELEASE,Nb244eb9f19c247b49fb8b7ba27c939b5
12,https://schema.org/aggregateRating,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
13,https://schema.org/citation,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
14,https://schema.org/coursePrerequisites,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
15,https://schema.org/license,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
16,https://schema.org/mentions,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
17,https://schema.org/teaches,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
18,https://schema.org/timeRequired,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
19,https://schema.org/url,https://bioschemas.org/profiles/Course/1.0-RELEASE,N06332d60087a4853ab26a70d56b55452
20,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
21,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
22,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
23,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
24,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
25,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
26,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
27,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
28,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nc88a240094c94e0d8e153e68837fd49f
29,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
30,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
31,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
32,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
33,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
34,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
35,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
36,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
37,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N8e22f55c433b4a8a9ebd1c929828d714
38,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
39,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
40,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
41,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
42,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
43,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
44,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
45,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
46,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N3f22fb3a182847a38a645344345e6ce6
47,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
48,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
49,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
50,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
51,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
52,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
53,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
54,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
55,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00f8bf33420943b7a8a81bca66619d89
56,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
57,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
58,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
59,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
60,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
61,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
62,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
63,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
64,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,N00ab884a4ec04d92b813deb025438ac3
65,https://schema.org/audience,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
66,https://schema.org/competencyRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
67,https://schema.org/identifier,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
68,https://schema.org/learningResourceType,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
69,https://schema.org/license,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
70,https://schema.org/mentions,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
71,https://schema.org/teaches,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
72,https://schema.org/timeRequired,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
73,https://schema.org/url,https://bioschemas.org/profiles/TrainingMaterial/1.0-RELEASE,Nf9475cdda05b45948e02c02d03e884b0
74,https://schema.org/iupacName,https://bioschemas.org/profiles/MolecularEntity/0.5-RELEASE,N1fa1bba869594e558de3a498b41ef629
75,https://schema.org/molecularWeight,https://bioschemas.org/profiles/MolecularEntity/0.5-RELEASE,N1fa1bba869594e558de3a498b41ef629
76,https://schema.org/alternateName,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
77,https://schema.org/citation,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
78,https://schema.org/distribution,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
79,https://schema.org/includedInDataCatalog,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
80,https://schema.org/isBasedOn,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
81,https://schema.org/measurementTechnique,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
82,https://schema.org/variableMeasured,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
83,https://schema.org/version,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.7965446
84,https://schema.org/alternateName,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
85,https://schema.org/citation,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
86,https://schema.org/distribution,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
87,https://schema.org/includedInDataCatalog,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
88,https://schema.org/isBasedOn,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
89,https://schema.org/measurementTechnique,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
90,https://schema.org/variableMeasured,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
91,https://schema.org/version,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.5744082
92,https://schema.org/alternateName,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.4146981
93,https://schema.org/citation,https://bioschemas.org/profiles/Dataset/1.0-RELEASE,https://doi.org/10.5281/zenodo.4146981
